N°;Departamento;Municipio;Deporte 1;Deporte 2;Deporte 3;Deporte 4;Edad;Género;Grupo étnico;Condición de discapacidad;Grupo Vulnerable;Día inscripción;"Mes
inscripción";Año inscripción
6183;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6184;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6185;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6186;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6187;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6188;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6189;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6190;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6191;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6192;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;14;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6193;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;17;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6194;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;10;6;2.019
6195;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6196;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6197;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;16;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6198;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6199;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;12;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6200;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6201;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6202;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6203;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6204;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;15;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6205;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6206;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;13;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6207;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;9;Masculino;Afro;Ninguna;Ningún;10;7;2.019
6208;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6209;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;10;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6210;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;11;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6211;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;7;Masculino;Afro;Ninguna;Ningún;2;8;2.019
6212;ATLÁNTICO;MANATI;BÉISBOL;NO INSCRIBIÓ;NO INSCRIBIÓ;NO INSCRIBIÓ;8;Masculino;Afro;Ninguna;Ningún;2;8;2.019
